Apparence dans les résultats de recherche,Clics,Impressions,CTR,Position
Extrait d'avis,209888,6449490,3.25%,27.17
Extraits de produits,10996,610625,1.8%,27.56
Résultats traduits,190,11909,1.6%,11.11
Vidéos,0,32,0%,5.5
